Nome Empresa;Código;Denominação;Natureza;Nome Natureza;Ref. salarial inicial (Plano de Cargos);Providos;Cargos<br>Vagos;Total;Providos;Empregos<br>Vagos;Total;Providos;Comissão<br>Vagos;Total;Providos;Contratos<br>Vagos;Total
PREFEITURA MUNICIPAL DE PADRE MARCOS;0038;COZINHEIRA(O) - SELETISTA;3;Temporário;1621;0;0;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0039;OPERADOR DE MAQUINAS PESADAS;1;Efetivo;1621;1;-1;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0040;FISCAL DE OBRA;1;Efetivo;1621;0;0;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0041;FISCAL DE TRIBUTOS;1;Efetivo;1621;1;-1;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0042;AUX.JUNTA SERV. MILITAR;1;Efetivo;1621;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0043;ENFERMEIRO;1;Efetivo;4318,18;3;-3;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0044;AUXI.DE SERV. GERAIS- SELETISTAS;3;Temporário;1621;0;0;0;0;0;0;0;0;0;1;-1;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0045;ODONTÓLOGO;1;Efetivo;3057;2;-2;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0046;FISIOTERAPEUTA;1;Efetivo;3969,52;1;-1;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0047;NUTRICIONISTA;1;Efetivo;3020;1;-1;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0048;MEDICO (A);1;Efetivo;5550;2;-2;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0049;BIOQUIMICO;3;Temporário;1621;0;0;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0050;ASSISTENTE SOCIAL - CONTRATADA;3;Temporário;3000;0;0;0;0;0;0;0;0;0;2;-2;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0051;COORDENADOR DE SERVIÇOS;2;Comissão;1621;0;0;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0052;DIRETOR DE DEPARTAMENTO;2;Comissão;1621;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0053;SECRETARIO (A) DE CULTURA;5;Função de Confiança;2255,6;0;0;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0054;SECRETARIO DE FINANÇAS;5;Função de Confiança;2255,6;0;0;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0055;SECRETARIO DE  EDUCAÇÃO;5;Função de Confiança;2255,6;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0056;SECR. DE ASSISTENCIA SOCIAL;2;Comissão;2255,6;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0058;ASSESSOR TÉCNICO (A) ADMINISTRATIVO;2;Comissão;1621;0;0;0;0;0;0;11;-11;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0059;SECRETARIO MUNICIPAL DE OBRAS E SERVIÇOS URBANOS;2;Comissão;2255,6;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0060;ENGENHEIRO FLORESTAL;3;Temporário;4100;0;0;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0061;SECRETARIA MUNICIPAL DO MEIO AMBIENTE;2;Comissão;2255,6;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0062;MONITOR(A);3;Temporário;1621;0;0;0;0;0;0;0;0;0;11;-11;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0063;SECRETARIO DE AGRICULTURA;2;Comissão;2255,6;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0064;SECRETARIO MUNICIPAL DE TRANSPORTE;2;Comissão;2255,6;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0065;FONOAUDIOLOGO;3;Temporário;2200;0;0;0;0;0;0;0;0;0;2;-2;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0066;TECNICO EM PROTESI DENTARIA;3;Temporário;3000;0;0;0;0;0;0;0;0;0;1;-1;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0067;COORDENADOR(A) PEDAGÓGICO;2;Comissão;3200;0;0;0;0;0;0;8;-8;0;2;-2;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0068;DIRETOR ADJUNTO;3;Temporário;1621;0;0;0;0;0;0;2;-2;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0069;DIRETOR(A) DE ESCOLA;2;Comissão;3200;0;0;0;0;0;0;6;-6;0;2;-2;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0070;SECRETARIO(A) UNIDADE ESCOLAR MUNICIPAL;2;Comissão;1621;0;0;0;0;0;0;7;-7;0;1;-1;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0071;SECRETARIO DE ESPORTE;2;Comissão;1621;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0072;SECRETARIO DE DESENV. DE EMPREENDEDORISMO;2;Comissão;2255,6;0;0;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0073;ORIENTADORA(O) EDUCACIONAL;2;Comissão;1621;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0074;INSPETOR ESCOLAR;2;Comissão;1621;0;0;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0075;PROFESSORA DE EJA - CELETISTA;3;Temporário;1621;0;0;0;0;0;0;0;0;0;6;-6;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0076;PROFESSOR SELETISTA;3;Temporário;1621;0;0;0;0;0;0;0;0;0;8;-8;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0077;COORDENADOR DA VIGILANCIA SOCIOASSISTENCIAL;2;Comissão;1900;0;0;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0078;COORDENADORA DE FOMENTO DO TURISMO;3;Temporário;;0;0;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0079;FISIOTERAPEUTA;3;Temporário;;0;0;0;0;0;0;0;0;0;6;-6;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0080;CORDENADOR DE TRANSPORTE;2;Comissão;;0;0;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0081;ORIENTADOR SOCIAL;3;Temporário;;0;0;0;0;0;0;0;0;0;3;-3;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0082;TERAPEUTA OCUPACIONAL;3;Temporário;;0;0;0;0;0;0;0;0;0;1;-1;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0083;MOTORISTA CONTRATADO;3;Temporário;;0;0;0;0;0;0;0;0;0;5;-5;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0084;MEDICO VETERINARIO;3;Temporário;;0;0;0;0;0;0;0;0;0;1;-1;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0085;PSICOPEDAGOGA;3;Temporário;;0;0;0;0;0;0;0;0;0;1;-1;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0086;PROFESSOR SM 20H;1;Efetivo;;0;0;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0088;ASSESSOR TECNICO II;2;Comissão;;0;0;0;0;0;0;1;-1;0;1;-1;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0089; DIRETOR DE RECURSOS HUMANOS;2;Comissão;;0;0;0;0;0;0;0;0;0;1;-1;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0091;COORDENADOR DE MÁQUINAS PESADAS;2;Comissão;;0;0;0;0;0;0;0;0;0;1;-1;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0092;COORDENADOR DE FROTAS E MANUTENÇÕES DE TRANSPORTE;2;Comissão;;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0093;COORDENADOR DE LAZER;2;Comissão;;0;0;0;0;0;0;0;0;0;1;-1;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;0094;COORDENADOR DE CADASTRAMENTO E INFORMATICA;2;Comissão;;0;0;0;0;0;0;1;-1;0;0;0;0
