Nome Empresa;Código;Denominação;Natureza;Nome Natureza;Ref. salarial inicial (Plano de Cargos);Providos;Cargos<br>Vagos;Total;Providos;Empregos<br>Vagos;Total;Providos;Comissão<br>Vagos;Total;Providos;Contratos<br>Vagos;Total
PREFEITURA MUNICIPAL DE PADRE MARCOS;1004;MEDICO(A) TEMPORARIO(A);3;Temporário;1800;0;0;0;0;0;0;0;0;0;2;-2;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;1005;MEDICO (A) TEMPORARIO (A) PLANTÃO;3;Temporário;1800;0;0;0;0;0;0;0;0;0;3;-3;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;1006;PROFESSOR SL 40H;3;Temporário;3986,24;0;0;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;1007;TECNICO DE ENFERMAGEM;3;Temporário;1621;0;0;0;0;0;0;0;0;0;4;-4;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;1008;AUX. DE SERVIÇOS GERAIS;3;Temporário;1621;0;0;0;0;0;0;0;0;0;8;-8;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;1009;AG.COMUNITÁRIO DE SAÚDE;3;Temporário;3242;0;0;0;0;0;0;0;0;0;1;-1;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;1010;ENFERMEIRO (A)  CONTRATADO (A);3;Temporário;4318,18;0;0;0;0;0;0;0;0;0;1;-1;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;1011;SECRETARIO(A) ESCOLAR II;1;Efetivo;;1;-1;0;0;0;0;0;0;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;1017;VISITADOR PCF;3;Temporário;;0;0;0;0;0;0;0;0;0;4;-4;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;1018;VISITADOR SANITARIO;3;Temporário;;0;0;0;0;0;0;0;0;0;1;-1;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;1019;AUXILIAR DE SAÚDE BUCAL;3;Temporário;;0;0;0;0;0;0;0;0;0;2;-2;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;1020;NUTRICIONISTA;3;Temporário;;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;1021;OUVIDOR GERAL DO MUNICIPIO;2;Comissão;;0;0;0;0;0;0;0;0;0;1;-1;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;1022;SUPERVIORA DE ENSINO;2;Comissão;;0;0;0;0;0;0;1;-1;0;1;-1;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;1023;AUX. DE OUVIDORIA MUNICIPAL;2;Comissão;;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;1024;ASSESSORA OUVIDORIA MUNICIPAL;2;Comissão;;0;0;0;0;0;0;1;-1;0;0;0;0
PREFEITURA MUNICIPAL DE PADRE MARCOS;1025;ASSESSOR TÉCNICO;2;Comissão;;0;0;0;0;0;0;28;-28;0;23;-23;0
