Código;Especificação;Cod. Aplicação;Fonte STN;Fonte de Recurso;Prev. Inicial;Prev. Atualizada;Arrec. Período;Arrec. Total
1723.50.0.1.00;TRANSF.RECURSOS-SUS-PRINCIPAL;999.000;1.621 0;1.621.02 9999;600.000,00;600.000,00;270.644,74;270.644,74
2000.00.0.0.00;RECEITAS DE CAPITAL;;;;791.366,26;791.366,26;0,00;0,00
2400.00.0.0.00;TRANSFERÊNCIAS DE CAPITAL;;;;791.366,26;791.366,26;0,00;0,00
2410.00.0.0.00;TRANSFERÊNCIAS DA UNIÃO E DE SUAS ENTIDADES;;;;487.000,00;487.000,00;0,00;0,00
2411.00.0.0.00;TRANSFERÊNCIAS DE RECURSOS DO SISTEMA ÚNICO DE SAÚDE – SUS;;;;380.000,00;380.000,00;0,00;0,00
2411.51.1.1.00;TRANSF.-SUS-BLOCO ESTRUT.-ATEN.PRIMÁRIA-PRINCIPAL;;;;380.000,00;380.000,00;0,00;0,00
2411.51.1.1.00;TRANSF.-SUS-BLOCO ESTRUT.-ATEN.PRIMÁRIA-PRINCIPAL;999.000;1.601 0;1.601.02 9999;380.000,00;380.000,00;0,00;0,00
2414.00.0.0.00;TRANSFERÊNCIAS DE CONVÊNIOS DA UNIÃO E DE SUAS ENTIDADES ;;;;107.000,00;107.000,00;0,00;0,00
2414.50.0.1.00;TRANSF. CONV.UNIÃO PARA O SUS-PRINCIPAL;;;;107.000,00;107.000,00;0,00;0,00
2414.50.0.1.00;TRANSF. CONV.UNIÃO PARA O SUS-PRINCIPAL;999.000;1.631 0;1.631.02 9999;107.000,00;107.000,00;0,00;0,00
2420.00.0.0.00;TRANSF.ESTADOS E DO DISTRITO FEDERAL E DE SUAS ENTIDADES;;;;304.366,26;304.366,26;0,00;0,00
2422.00.0.0.00;TRANSF.CONVÊNIOS ESTADOS E DF E DE SUAS ENTIDADES;;;;304.366,26;304.366,26;0,00;0,00
2422.50.0.1.00;TRANSF.CONV.ESTADOS PARA SUS-PRINCIPAL;;;;304.366,26;304.366,26;0,00;0,00
2422.50.0.1.00;TRANSF.CONV.ESTADOS PARA SUS-PRINCIPAL;999.000;1.632 0;1.632.02 9999;304.366,26;304.366,26;0,00;0,00
;;;;;7.810.133,13;7.810.133,13;6.888.335,89;6.888.335,89
