Código;Especificação;Cod. Aplicação;Fonte STN;Fonte de Recurso;Prev. Inicial;Prev. Atualizada;Arrec. Período;Arrec. Total
1000.00.0.0.00;RECEITAS CORRENTES.;;;;5.164.515,00;5.491.187,33;7.230.062,14;7.230.062,14
1300.00.0.0.00;RECEITA PATRIMONIAL;;;;73.500,00;73.500,00;52.038,65;52.038,65
1320.00.0.0.00;VALORES MOBILIÁRIOS;;;;73.500,00;73.500,00;52.038,65;52.038,65
1321.00.0.0.00;JUROS E CORREÇÕES MONETÁRIAS;;;;73.500,00;73.500,00;52.038,65;52.038,65
1321.01.0.1.00;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;;;;73.500,00;73.500,00;52.038,65;52.038,65
1321.01.0.1.00;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;999.000;1.600 0;1.600.02 9999;45.000,00;45.000,00;37.399,70;37.399,70
1321.01.0.1.09;REMUNERAçãO DE DEPóSITOS BANCáRIOS - FUS;300.000;1.500 1002;1.500.00 9999;4.000,00;4.000,00;4.753,21;4.753,21
1321.01.0.1.10;REMUNERAçãO DE DEPóSITOS BANCáRIOS - SAÚDE ESTADO;999.000;1.621 0;1.621.02 9999;7.000,00;7.000,00;5.554,10;5.554,10
1321.01.0.1.14;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - INVESTIMENTO;999.000;1.601 0;1.601.02 9999;17.500,00;17.500,00;2.108,31;2.108,31
1321.01.0.1.17;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PISO ENFERMAGEM;999.000;1.605 0;1.605.02 9999;0,00;0,00;2.223,33;2.223,33
1700.00.0.0.00;TRANSFERÊNCIAS CORRENTES;;;;5.091.015,00;5.417.687,33;7.178.023,49;7.178.023,49
1710.00.0.0.00;TRANSFERÊNCIAS DA UNIÃO E DE SUAS ENTIDADES;;;;4.841.015,00;5.167.687,33;5.824.970,98;5.824.970,98
1713.00.0.0.00;TRANSFERÊNCIAS RECURSOS SISTEMA ÚNICO SAÚDE – SUS ;;;;4.841.015,00;5.167.687,33;5.824.970,98;5.824.970,98
1713.50.1.1.00;TRANS.SUS-BLOCO MANUT.ATEN.PRIMÁRIA-PRINCIPAL;;;;4.188.565,00;4.515.237,33;5.524.479,53;5.524.479,53
1713.50.1.1.00;TRANS.SUS-BLOCO MANUT.ATEN.PRIMÁRIA-PRINCIPAL;999.000;1.600 0;1.600.02 9999;2.588.565,00;2.915.237,33;2.704.443,55;2.704.443,55
1713.50.1.1.02;TRANSF. DE RECURSOS DO BL. DE MANUT. DA ATENÇÃO BÁSICA - ACS;999.000;1.604 0;1.604.02 9999;900.000,00;900.000,00;697.528,00;697.528,00
1713.50.1.1.03;COMPLEMENTO UNIÃO - PISO ENFERMAGEM;999.000;1.605 0;1.605.02 9999;700.000,00;700.000,00;422.507,98;422.507,98
1713.50.1.1.04;TRANS.SUS-BLOCO MANUT.ATEN.PRIMÁRIA-EMENDA INDIVIDUAL;999.000;1.600 3110;1.600.02 7000;0,00;0,00;1.000.000,00;1.000.000,00
1713.50.1.1.05;TRANS.SUS-BLOCO MANUT.ATEN.PRIMÁRIA-PRINCIPAL-EMENDA BANCADA;999.000;1.600 3120;1.600.02 3120;0,00;0,00;700.000,00;700.000,00
1713.50.3.1.00;TRANS.SUS-BLOCO MANUT-VIGILÂNCIA SAÚDE-PRINCIPAL;;;;150.500,00;150.500,00;172.623,05;172.623,05
1713.50.3.1.00;TRANS.SUS-BLOCO MANUT-VIGILÂNCIA SAÚDE-PRINCIPAL;999.000;1.600 0;1.600.02 9999;150.500,00;150.500,00;80.379,05;80.379,05
1713.50.3.1.01;TRANS.SUS-BLOCO MANUT-VIGILÂNCIA SAÚDE- AG. ENDEMIAS;999.000;1.604 0;1.604.02 9999;0,00;0,00;92.244,00;92.244,00
1713.50.4.1.00;TRANS.SUS- BLOCO MANUT.-ASSIST.FARMAC.-PRINCIPAL;;;;151.950,00;151.950,00;81.427,60;81.427,60
1713.50.4.1.00;TRANS.SUS- BLOCO MANUT.-ASSIST.FARMAC.-PRINCIPAL;999.000;1.600 0;1.600.02 9999;151.950,00;151.950,00;81.427,60;81.427,60
1713.50.5.1.00;TRANS.SUS- BLOCO MANUT.-GESTÃO SUS-PRINCIPAL;;;;0,00;0,00;46.440,80;46.440,80
1713.50.5.1.00;TRANS.SUS- BLOCO MANUT.-GESTÃO SUS-PRINCIPAL;999.000;1.600 0;1.600.02 9999;0,00;0,00;46.440,80;46.440,80
1713.50.9.1.00;TRANS.SUS-BLOCO MANUT.-OUTROS PROGR.-PRINCIPAL;;;;350.000,00;350.000,00;0,00;0,00
1713.50.9.1.00;TRANS.SUS-BLOCO MANUT.-OUTROS PROGR.-PRINCIPAL;999.000;1.600 0;1.600.02 9999;350.000,00;350.000,00;0,00;0,00
1720.00.0.0.00;TRANSFERÊNCIAS ESTADOS  DISTRITO FEDERAL E DE SUAS ENTIDADES;;;;250.000,00;250.000,00;1.353.052,51;1.353.052,51
1723.00.0.0.00;TRANSFERÊNCIAS RECURSOS SISTEMA ÚNICO SAÚDE – SUS;;;;250.000,00;250.000,00;1.353.052,51;1.353.052,51
1723.50.0.1.00;TRANSF.RECURSOS-SUS-PRINCIPAL;;;;250.000,00;250.000,00;1.353.052,51;1.353.052,51
1723.50.0.1.00;TRANSF.RECURSOS-SUS-PRINCIPAL;999.000;1.621 0;1.621.02 9999;250.000,00;250.000,00;796.802,51;796.802,51
1723.50.0.1.01;TRANSF.RECURSOS-SUS-EMENDA INDIVIDUAL;999.000;1.621 3210;1.621.02 7002;0,00;0,00;556.250,00;556.250,00
2000.00.0.0.00;RECEITAS DE CAPITAL;;;;498.500,00;498.500,00;300.000,00;300.000,00
2400.00.0.0.00;TRANSFERÊNCIAS DE CAPITAL;;;;498.500,00;498.500,00;300.000,00;300.000,00
2410.00.0.0.00;TRANSFERÊNCIAS DA UNIÃO E DE SUAS ENTIDADES;;;;398.500,00;398.500,00;300.000,00;300.000,00
2411.00.0.0.00;TRANSFERÊNCIAS DE RECURSOS DO SISTEMA ÚNICO DE SAÚDE – SUS;;;;291.500,00;291.500,00;300.000,00;300.000,00
2411.51.1.1.00;TRANSF.-SUS-BLOCO ESTRUT.-ATEN.PRIMÁRIA-PRINCIPAL;;;;291.500,00;291.500,00;300.000,00;300.000,00
2411.51.1.1.00;TRANSF.-SUS-BLOCO ESTRUT.-ATEN.PRIMÁRIA-PRINCIPAL;999.000;1.601 0;1.601.02 9999;291.500,00;291.500,00;300.000,00;300.000,00
2414.00.0.0.00;TRANSFERÊNCIAS DE CONVÊNIOS DA UNIÃO E DE SUAS ENTIDADES ;;;;107.000,00;107.000,00;0,00;0,00
2414.50.0.1.00;TRANSF. CONV.UNIÃO PARA O SUS-PRINCIPAL;;;;107.000,00;107.000,00;0,00;0,00
2414.50.0.1.00;TRANSF. CONV.UNIÃO PARA O SUS-PRINCIPAL;999.000;1.631 0;1.631.02 9999;107.000,00;107.000,00;0,00;0,00
2420.00.0.0.00;TRANSF.ESTADOS E DO DISTRITO FEDERAL E DE SUAS ENTIDADES;;;;100.000,00;100.000,00;0,00;0,00
2422.00.0.0.00;TRANSF.CONVÊNIOS ESTADOS E DF E DE SUAS ENTIDADES;;;;100.000,00;100.000,00;0,00;0,00
2422.50.0.1.00;TRANSF.CONV.ESTADOS PARA SUS-PRINCIPAL;;;;100.000,00;100.000,00;0,00;0,00
2422.50.0.1.00;TRANSF.CONV.ESTADOS PARA SUS-PRINCIPAL;999.000;1.632 0;1.632.02 9999;100.000,00;100.000,00;0,00;0,00
;;;;;5.663.015,00;5.989.687,33;7.530.062,14;7.530.062,14
