Código;Especificação;Cod. Aplicação;Fonte STN;Fonte de Recurso;Prev. Inicial;Prev. Atualizada;Arrec. Período;Arrec. Total
1000.00.0.0.00;RECEITAS CORRENTES.;;;;10.440,00;10.440,00;14,44;14,44
1300.00.0.0.00;RECEITA PATRIMONIAL;;;;10.440,00;10.440,00;14,44;14,44
1320.00.0.0.00;VALORES MOBILIÁRIOS;;;;10.440,00;10.440,00;14,44;14,44
1321.00.0.0.00;JUROS E CORREÇÕES MONETÁRIAS;;;;10.440,00;10.440,00;14,44;14,44
1321.01.0.1.00;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;;;;10.440,00;10.440,00;14,44;14,44
1321.01.0.1.00;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;999.000;1.500 0;1.500.00 9999;10.440,00;10.440,00;14,44;14,44
;;;;;10.440,00;10.440,00;14,44;14,44
