Extra;Data;Especificação;Arrec. Total
9009;15/01/2024;I.R.R.F;49,64
9009;30/01/2024;I.R.R.F;311,16
9028;30/01/2024;ISSQN;311,16
9011;30/01/2024;CONTRIBUIÇÃO SINDICAL - FUNDEB;16,24
9079;30/01/2024;EMPRÉSTIMO CONSIGNADO BRADESCO;335,43
9056;30/01/2024;PREVIDÊNCIA PRÓPRIA - FUNDEB 40%;909,32
9008;30/01/2024;EMPRESTIMO CONSIGNADO CEF;2.510,98
9011;30/01/2024;CONTRIBUIÇÃO SINDICAL - FUNDEB;279,55
9079;30/01/2024;EMPRÉSTIMO CONSIGNADO BRADESCO;2.240,03
9009;30/01/2024;I.R.R.F;24,39
9056;30/01/2024;PREVIDÊNCIA PRÓPRIA - FUNDEB 40%;6.331,31
9008;30/01/2024;EMPRESTIMO CONSIGNADO CEF;393,58
9011;30/01/2024;CONTRIBUIÇÃO SINDICAL - FUNDEB;48,72
9056;30/01/2024;PREVIDÊNCIA PRÓPRIA - FUNDEB 40%;681,99
9008;30/01/2024;EMPRESTIMO CONSIGNADO CEF;353,50
9011;30/01/2024;CONTRIBUIÇÃO SINDICAL - FUNDEB;48,72
9056;30/01/2024;PREVIDÊNCIA PRÓPRIA - FUNDEB 40%;929,54
9005;30/01/2024;INSS (FUNDEB 60%);313,45
9005;30/01/2024;INSS (FUNDEB 60%);6.833,05
9005;30/01/2024;INSS (FUNDEB 60%);1.167,00
9008;29/01/2024;EMPRESTIMO CONSIGNADO CEF;3.546,37
9011;29/01/2024;CONTRIBUIÇÃO SINDICAL - FUNDEB;1.367,32
9079;29/01/2024;EMPRÉSTIMO CONSIGNADO BRADESCO;6.279,97
9009;29/01/2024;I.R.R.F;14.566,66
9055;29/01/2024;PREVIDÊNCIA PRÓPRIA - FUNDEB 60%;18.497,70
9008;29/01/2024;EMPRESTIMO CONSIGNADO CEF;5.448,28
9011;29/01/2024;CONTRIBUIÇÃO SINDICAL - FUNDEB;1.172,65
9079;29/01/2024;EMPRÉSTIMO CONSIGNADO BRADESCO;1.576,77
9009;29/01/2024;I.R.R.F;16.827,46
9055;29/01/2024;PREVIDÊNCIA PRÓPRIA - FUNDEB 60%;17.720,21
9008;29/01/2024;EMPRESTIMO CONSIGNADO CEF;2.009,40
9011;29/01/2024;CONTRIBUIÇÃO SINDICAL - FUNDEB;313,32
9079;29/01/2024;EMPRÉSTIMO CONSIGNADO BRADESCO;1.170,03
9009;29/01/2024;I.R.R.F;3.910,52
9055;29/01/2024;PREVIDÊNCIA PRÓPRIA - FUNDEB 60%;4.238,87
9008;29/01/2024;EMPRESTIMO CONSIGNADO CEF;962,75
9011;29/01/2024;CONTRIBUIÇÃO SINDICAL - FUNDEB;36,53
9009;29/01/2024;I.R.R.F;797,28
9055;29/01/2024;PREVIDÊNCIA PRÓPRIA - FUNDEB 60%;2.317,43
9008;29/01/2024;EMPRESTIMO CONSIGNADO CEF;2.100,50
9011;29/01/2024;CONTRIBUIÇÃO SINDICAL - FUNDEB;774,68
9079;29/01/2024;EMPRÉSTIMO CONSIGNADO BRADESCO;1.661,41
9009;29/01/2024;I.R.R.F;8.647,66
9055;29/01/2024;PREVIDÊNCIA PRÓPRIA - FUNDEB 60%;10.624,41
9005;29/01/2024;INSS (FUNDEB 60%);2.997,42
9005;29/01/2024;INSS (FUNDEB 60%);433,67
9009;29/01/2024;I.R.R.F;18,46
9009;03/01/2024;I.R.R.F;28,36
9009;14/02/2024;I.R.R.F;63,30
9009;21/02/2024;I.R.R.F;22,08
9009;21/02/2024;I.R.R.F;19,93
9009;28/02/2024;I.R.R.F;311,16
9028;28/02/2024;ISSQN;311,16
9009;27/02/2024;I.R.R.F;877,20
9011;28/02/2024;CONTRIBUIÇÃO SINDICAL - FUNDEB;12,29
9055;28/02/2024;PREVIDÊNCIA PRÓPRIA - FUNDEB 60%;242,36
