Código;Especificação;Cod. Aplicação;Fonte STN;Fonte de Recurso;Prev. Inicial;Prev. Atualizada;Arrec. Período;Arrec. Total
1000.00.0.0.00;RECEITAS CORRENTES.;;;;13.238.500,00;14.500.755,35;15.363.960,78;15.363.960,78
1300.00.0.0.00;RECEITA PATRIMONIAL;;;;53.500,00;53.500,00;35.928,77;35.928,77
1320.00.0.0.00;VALORES MOBILIÁRIOS;;;;53.500,00;53.500,00;35.928,77;35.928,77
1321.00.0.0.00;JUROS E CORREÇÕES MONETÁRIAS;;;;53.500,00;53.500,00;35.928,77;35.928,77
1321.01.0.1.00;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;;;;53.500,00;53.500,00;35.928,77;35.928,77
1321.01.0.1.00;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;999.000;1.540 0;1.540.01 9999;53.500,00;53.500,00;35.928,77;35.928,77
1700.00.0.0.00;TRANSFERÊNCIAS CORRENTES;;;;13.185.000,00;14.447.255,35;15.328.032,01;15.328.032,01
1710.00.0.0.00;TRANSFERÊNCIAS DA UNIÃO E DE SUAS ENTIDADES;;;;4.980.000,00;5.954.682,14;6.817.887,57;6.817.887,57
1715.00.0.0.00;TRANSFERÊNCIAS  COMPLEMENTAÇÃO DA UNIÃO -FUNDEB ;;;;4.980.000,00;5.954.682,14;6.817.887,57;6.817.887,57
1715.50.0.1.00;TRANSF.COMP.UNIÃO FUNDEB-VAAT-PRINCIPAL;;;;2.520.000,00;3.399.024,76;4.206.220,38;4.206.220,38
1715.50.0.1.00;TRANSF.COMP.UNIÃO FUNDEB-VAAT-PRINCIPAL;230.000;1.542 0;1.542.01 9999;2.520.000,00;3.399.024,76;4.206.220,38;4.206.220,38
1715.51.0.1.00;TRANSF.COMP.UNIÃO FUNDEB-VAAF-PRINCIPAL;;;;2.260.000,00;2.274.815,53;2.274.815,53;2.274.815,53
1715.51.0.1.00;TRANSF.COMP.UNIÃO FUNDEB-VAAF-PRINCIPAL;999.000;1.541 0;1.541.01 9999;2.260.000,00;2.274.815,53;2.274.815,53;2.274.815,53
1715.52.0.1.00;TRANSF.COMP.UNIÃO FUNDEB-VAAR-PRINCIPAL;;;;200.000,00;280.841,85;336.851,66;336.851,66
1715.52.0.1.00;TRANSF.COMP.UNIÃO FUNDEB-VAAR-PRINCIPAL;999.000;1.543 0;1.543.01 9999;200.000,00;280.841,85;336.851,66;336.851,66
1750.00.0.0.00;TRANSFERÊNCIAS DE OUTRAS INSTITUIÇÕES PÚBLICAS;;;;8.205.000,00;8.492.573,21;8.510.144,44;8.510.144,44
1751.00.0.0.00;TRANSF.RECURSOS FUNDO MANUTENÇÃO DESENVOL.EDUCAÇÃO-FUNDEB;;;;8.205.000,00;8.492.573,21;8.510.144,44;8.510.144,44
1751.50.0.1.00;TRANSF.RECURSOS FUNDEB-PRINCIPAL;;;;8.205.000,00;8.492.573,21;8.510.144,44;8.510.144,44
1751.50.0.1.00;TRANSF.RECURSOS FUNDEB-PRINCIPAL;999.000;1.540 0;1.540.01 9999;8.205.000,00;8.492.573,21;8.510.144,44;8.510.144,44
;;;;;13.238.500,00;14.500.755,35;15.363.960,78;15.363.960,78
