Código;Especificação;Cod. Aplicação;Fonte STN;Fonte de Recurso;Prev. Inicial;Prev. Atualizada;Arrec. Período;Arrec. Total
1000.00.0.0.00;RECEITAS CORRENTES.;;;;350,00;350,00;9,62;9,62
1300.00.0.0.00;RECEITA PATRIMONIAL;;;;350,00;350,00;9,62;9,62
1320.00.0.0.00;VALORES MOBILIÁRIOS;;;;350,00;350,00;9,62;9,62
1321.00.0.0.00;JUROS E CORREÇÕES MONETÁRIAS;;;;350,00;350,00;9,62;9,62
1321.01.0.1.00;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;;;;350,00;350,00;9,62;9,62
1321.01.0.1.00;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;999.000;1.500 0;1.500.00 9999;350,00;350,00;9,62;9,62
;;;;;350,00;350,00;9,62;9,62
