Código;Especificação;Cod. Aplicação;Fonte STN;Fonte de Recurso;Prev. Inicial;Prev. Atualizada;Arrec. Período;Arrec. Total
1000.00.0.0.00;RECEITAS CORRENTES.;;;;630.300,00;630.300,00;77.248,75;77.248,75
1300.00.0.0.00;RECEITA PATRIMONIAL;;;;15.000,00;15.000,00;795,68;795,68
1320.00.0.0.00;VALORES MOBILIÁRIOS;;;;15.000,00;15.000,00;795,68;795,68
1321.00.0.0.00;JUROS E CORREÇÕES MONETÁRIAS;;;;15.000,00;15.000,00;795,68;795,68
1321.01.0.1.00;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;;;;15.000,00;15.000,00;795,68;795,68
1321.01.0.1.00;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;999.000;1.621 0;1.621.02 9999;15.000,00;15.000,00;795,68;795,68
1700.00.0.0.00;TRANSFERÊNCIAS CORRENTES;;;;615.300,00;615.300,00;76.453,07;76.453,07
1720.00.0.0.00;TRANSFERÊNCIAS ESTADOS  DISTRITO FEDERAL E DE SUAS ENTIDADES;;;;615.300,00;615.300,00;76.453,07;76.453,07
1723.00.0.0.00;TRANSFERÊNCIAS RECURSOS SISTEMA ÚNICO SAÚDE – SUS;;;;615.300,00;615.300,00;76.453,07;76.453,07
1723.50.0.1.00;TRANSF.RECURSOS-SUS-PRINCIPAL;;;;615.300,00;615.300,00;76.453,07;76.453,07
1723.50.0.1.00;TRANSF.RECURSOS-SUS-PRINCIPAL;999.000;1.621 0;1.621.02 9999;615.300,00;615.300,00;76.453,07;76.453,07
;;;;;630.300,00;630.300,00;77.248,75;77.248,75
