Código;Especificação;Cod. Aplicação;Fonte STN;Fonte de Recurso;Prev. Inicial;Prev. Atualizada;Arrec. Período;Arrec. Total
1000.00.0.0.00;RECEITAS CORRENTES.;;;;456.650,00;456.650,00;245.863,94;245.863,94
1300.00.0.0.00;RECEITA PATRIMONIAL;;;;850,00;850,00;634,43;634,43
1320.00.0.0.00;VALORES MOBILIÁRIOS;;;;850,00;850,00;634,43;634,43
1321.00.0.0.00;JUROS E CORREÇÕES MONETÁRIAS;;;;850,00;850,00;634,43;634,43
1321.01.0.1.00;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;;;;850,00;850,00;634,43;634,43
1321.01.0.1.00;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;999.000;1.621 0;1.621.02 9999;850,00;850,00;634,43;634,43
1700.00.0.0.00;TRANSFERÊNCIAS CORRENTES;;;;455.800,00;455.800,00;245.229,51;245.229,51
1720.00.0.0.00;TRANSFERÊNCIAS DOS ESTADOS E DO DISTRITO FEDERAL E DE SUAS E;;;;455.800,00;455.800,00;245.229,51;245.229,51
1723.00.0.0.00;TRANSFERÊNCIAS DE RECURSOS DO SISTEMA ÚNICO DE SAÚDE – SUS;;;;455.800,00;455.800,00;245.229,51;245.229,51
1723.50.0.1.00;TRANSFERÊNCIAS DE RECURSOS DO SISTEMA ÚNICO DE SAÚDE – SUS -;;;;455.800,00;455.800,00;245.229,51;245.229,51
1723.50.0.1.00;TRANSFERÊNCIAS DE RECURSOS DO SISTEMA ÚNICO DE SAÚDE – SUS -;999.000;1.621 0;1.621.02 9999;455.800,00;455.800,00;245.229,51;245.229,51
;;;;;456.650,00;456.650,00;245.863,94;245.863,94
