Código;Especificação;Cod. Aplicação;Fonte STN;Fonte de Recurso;Prev. Inicial;Prev. Atualizada;Arrec. Período;Arrec. Total
1000.00.0.0.00;RECEITAS CORRENTES.;;;;400,50;400,50;212,17;212,17
1300.00.0.0.00;RECEITA PATRIMONIAL;;;;400,50;400,50;212,17;212,17
1320.00.0.0.00;VALORES MOBILIÁRIOS;;;;400,50;400,50;212,17;212,17
1321.00.0.0.00;JUROS E CORREÇÕES MONETÁRIAS;;;;400,50;400,50;212,17;212,17
1321.01.0.1.00;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;;;;400,50;400,50;212,17;212,17
1321.01.0.1.00;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;999.000;1.500 0;1.500.00 9999;400,50;400,50;212,17;212,17
;;;;;400,50;400,50;212,17;212,17
