Extra;Data;Especificação;Arrec. Total
9022;30/01/2023;EMPRESTIMO CONSIGNADO CEF;1.564,12
9026;30/01/2023;CONTRIBUIÇÃO SINDICAL;235,57
9083;30/01/2023;EMPRÉSTIMO CONSIGNADO BRADESCO;623,99
9059;30/01/2023;PREVIDÊNCIA PRÓPRIA - HOSPITAL;3.124,81
9083;30/01/2023;EMPRÉSTIMO CONSIGNADO BRADESCO;267,66
9021;30/01/2023;I.R.R.F.;14,29
9059;30/01/2023;PREVIDÊNCIA PRÓPRIA - HOSPITAL;445,92
9020;30/01/2023;INSS;138,47
9022;28/02/2023;EMPRESTIMO CONSIGNADO CEF;1.564,12
9026;28/02/2023;CONTRIBUIÇÃO SINDICAL;235,57
9083;28/02/2023;EMPRÉSTIMO CONSIGNADO BRADESCO;623,99
9059;28/02/2023;PREVIDÊNCIA PRÓPRIA - HOSPITAL;3.124,81
9083;28/02/2023;EMPRÉSTIMO CONSIGNADO BRADESCO;267,66
9021;28/02/2023;I.R.R.F.;14,29
9059;28/02/2023;PREVIDÊNCIA PRÓPRIA - HOSPITAL;445,92
9020;28/02/2023;INSS;138,47
9020;29/03/2023;INSS;138,47
9022;29/03/2023;EMPRESTIMO CONSIGNADO CEF;1.564,12
9026;29/03/2023;CONTRIBUIÇÃO SINDICAL;236,87
9083;29/03/2023;EMPRÉSTIMO CONSIGNADO BRADESCO;623,99
9059;29/03/2023;PREVIDÊNCIA PRÓPRIA - HOSPITAL;3.143,04
9083;29/03/2023;EMPRÉSTIMO CONSIGNADO BRADESCO;267,66
9021;29/03/2023;I.R.R.F.;14,29
9059;29/03/2023;PREVIDÊNCIA PRÓPRIA - HOSPITAL;445,92
9020;02/05/2023;INSS;138,47
9022;02/05/2023;EMPRESTIMO CONSIGNADO CEF;1.564,12
9026;02/05/2023;CONTRIBUIÇÃO SINDICAL;236,87
9083;02/05/2023;EMPRÉSTIMO CONSIGNADO BRADESCO;623,99
9059;02/05/2023;PREVIDÊNCIA PRÓPRIA - HOSPITAL;3.143,04
9083;02/05/2023;EMPRÉSTIMO CONSIGNADO BRADESCO;267,66
9021;02/05/2023;I.R.R.F.;14,29
9059;02/05/2023;PREVIDÊNCIA PRÓPRIA - HOSPITAL;445,92
9022;30/05/2023;EMPRESTIMO CONSIGNADO CEF;1.564,12
9026;30/05/2023;CONTRIBUIÇÃO SINDICAL;240,13
9083;30/05/2023;EMPRÉSTIMO CONSIGNADO BRADESCO;623,99
9059;30/05/2023;PREVIDÊNCIA PRÓPRIA - HOSPITAL;3.186,29
9083;30/05/2023;EMPRÉSTIMO CONSIGNADO BRADESCO;267,66
9059;30/05/2023;PREVIDÊNCIA PRÓPRIA - HOSPITAL;448,82
9020;30/05/2023;INSS;138,20
9022;03/07/2023;EMPRESTIMO CONSIGNADO CEF;1.564,12
9026;03/07/2023;CONTRIBUIÇÃO SINDICAL;240,24
9083;03/07/2023;EMPRÉSTIMO CONSIGNADO BRADESCO;623,99
9059;03/07/2023;PREVIDÊNCIA PRÓPRIA - HOSPITAL;3.187,80
9083;03/07/2023;EMPRÉSTIMO CONSIGNADO BRADESCO;267,66
9059;03/07/2023;PREVIDÊNCIA PRÓPRIA - HOSPITAL;448,82
9020;03/07/2023;INSS;138,20
9022;03/08/2023;EMPRESTIMO CONSIGNADO CEF;1.616,61
9026;03/08/2023;CONTRIBUIÇÃO SINDICAL;240,24
9083;03/08/2023;EMPRÉSTIMO CONSIGNADO BRADESCO;623,99
9059;03/08/2023;PREVIDÊNCIA PRÓPRIA - HOSPITAL;3.187,80
9083;03/08/2023;EMPRÉSTIMO CONSIGNADO BRADESCO;267,66
9059;03/08/2023;PREVIDÊNCIA PRÓPRIA - HOSPITAL;448,82
9020;03/08/2023;INSS;138,20
