Código;Especificação;Cod. Aplicação;Fonte STN;Fonte de Recurso;Prev. Inicial;Prev. Atualizada;Arrec. Período;Arrec. Total
1000.00.0.0.00;RECEITAS CORRENTES.;;;;0,00;76.414,56;76.414,56;76.414,56
1300.00.0.0.00;RECEITA PATRIMONIAL;;;;0,00;2.524,56;2.524,56;2.524,56
1320.00.0.0.00;VALORES MOBILIÁRIOS;;;;0,00;2.524,56;2.524,56;2.524,56
1321.00.0.0.00;JUROS E CORREÇÕES MONETÁRIAS;;;;0,00;2.524,56;2.524,56;2.524,56
1321.01.0.1.00;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;;;;0,00;2.524,56;2.524,56;2.524,56
1321.01.0.1.00;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;999.000;1.715 0;1.715.05 9999;0,00;1.837,45;1.837,45;1.837,45
1321.01.0.1.15;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS -  LEI PAULO GUSTAVO;999.000;1.716 0;1.716.05 9999;0,00;687,11;687,11;687,11
1700.00.0.0.00;TRANSFERÊNCIAS CORRENTES;;;;0,00;73.890,00;73.890,00;73.890,00
1710.00.0.0.00;TRANSFERÊNCIAS DA UNIÃO E DE SUAS ENTIDADES;;;;0,00;73.890,00;73.890,00;73.890,00
1719.00.0.0.00;OUTRAS TRANSFERÊNCIAS DE RECURSOS DA UNIÃO E DE SUAS ENTIDAD;;;;0,00;73.890,00;73.890,00;73.890,00
1719.99.0.1.00;OUTRAS TRANSFERÊNCIAS DE RECURSOS DA UNIÃO E DE SUAS ENTIDAD;;;;0,00;73.890,00;73.890,00;73.890,00
1719.99.0.1.01;RECURSOS DA LC 195;999.000;1.715 0;1.715.05 9999;0,00;73.890,00;52.590,00;52.590,00
1719.99.0.1.01;RECURSOS DA LC 195;999.000;1.716 0;1.716.05 9999;0,00;0,00;21.300,00;21.300,00
1790.00.0.0.00;DEMAIS TRANSFERÊNCIAS CORRENTES;;;;0,00;0,00;0,00;0,00
1799.00.0.0.00;OUTRAS TRANSFERÊNCIAS CORRENTES;;;;0,00;0,00;0,00;0,00
1799.99.0.1.00;OUTRAS TRANSFERÊNCIAS CORRENTES - PRINCIPAL;;;;0,00;0,00;0,00;0,00
1799.99.0.1.00;OUTRAS TRANSFERÊNCIAS CORRENTES - PRINCIPAL;999.000;1.715 0;1.715.05 9999;0,00;0,00;0,00;0,00
1799.99.0.1.01;OUTRAS TRANSFERÊNCIAS CORRENTES - LEI PAULO GUSTAVO;999.000;1.716 0;1.716.05 9999;0,00;0,00;0,00;0,00
;;;;;;76.414,56;76.414,56;76.414,56
