Código;Especificação;Cod. Aplicação;Fonte STN;Fonte de Recurso;Prev. Inicial;Prev. Atualizada;Arrec. Período;Arrec. Total
1000.00.0.0.00;RECEITAS CORRENTES.;;;;80.000,00;80.000,00;61,08;61,08
1300.00.0.0.00;RECEITA PATRIMONIAL;;;;1.000,00;1.000,00;0,00;0,00
1320.00.0.0.00;VALORES MOBILIÁRIOS;;;;1.000,00;1.000,00;0,00;0,00
1321.00.0.0.00;JUROS E CORREÇÕES MONETÁRIAS;;;;1.000,00;1.000,00;0,00;0,00
1321.01.0.1.00;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL;;;;1.000,00;1.000,00;0,00;0,00
1321.01.0.1.15;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - DEMAIS SETORES CULTURA;999.000;1.716 0;1.716.05 9999;500,00;500,00;0,00;0,00
1321.01.0.1.16;REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - AUDIOVISUAL CULTURA;999.000;1.715 0;1.715.05 9999;500,00;500,00;0,00;0,00
1700.00.0.0.00;TRANSFERÊNCIAS CORRENTES;;;;79.000,00;79.000,00;61,08;61,08
1710.00.0.0.00;TRANSFERÊNCIAS DA UNIÃO E DE SUAS ENTIDADES;;;;79.000,00;79.000,00;61,08;61,08
1719.00.0.0.00;OUTRAS TRANSFERÊNCIAS RECURSOS UNIÃO E DE SUAS ENTIDADES;;;;79.000,00;79.000,00;61,08;61,08
1719.99.0.1.00;OUTRAS TRANSF.RECUR.UNIÃO ENTID.-PRINCIPAL;;;;79.000,00;79.000,00;61,08;61,08
1719.99.0.1.01;OUTRAS TRANSFERÊNCIAS DE RECURSOS DA UNIÃO;999.000;1.715 0;1.715.05 9999;9.500,00;9.500,00;0,00;0,00
1719.99.0.1.02;OUTRAS TRANSFERÊNCIAS DE RECURSOS DA UNIÃO;999.000;1.716 0;1.716.05 9999;9.500,00;9.500,00;0,00;0,00
1719.99.0.1.03;OUTRAS TRANSFERÊNCIAS DE RECURSOS DA UNIÃO;999.000;1.719 0;1.719.05 9999;60.000,00;60.000,00;61,08;61,08
;;;;;80.000,00;80.000,00;61,08;61,08
