Extra;Data;Especificação;Arrec. Total
9109;14/05/2025;IRRF - PESSOA JURÍDICA;93,77
9109;15/05/2025;IRRF - PESSOA JURÍDICA;113,23
9109;15/05/2025;IRRF - PESSOA JURÍDICA;121,03
9109;19/05/2025;IRRF - PESSOA JURÍDICA;17,30
9109;19/05/2025;IRRF - PESSOA JURÍDICA;18,74
9109;22/05/2025;IRRF - PESSOA JURÍDICA;158,13
9109;22/05/2025;IRRF - PESSOA JURÍDICA;99,00
9109;22/05/2025;IRRF - PESSOA JURÍDICA;111,92
9109;22/05/2025;IRRF - PESSOA JURÍDICA;18,17
9109;27/05/2025;IRRF - PESSOA JURÍDICA;195,65
9008;26/05/2025;EMPRESTIMO CONSIGNADO CEF;15.316,99
9011;26/05/2025;CONTRIBUIÇÃO SINDICAL - FUNDEB;2.876,62
9079;26/05/2025;EMPRÉSTIMO CONSIGNADO BRADESCO;7.045,99
9009;26/05/2025;I.R.R.F;37.910,32
9055;26/05/2025;PREVIDÊNCIA PRÓPRIA - FUNDEB 60%;41.175,70
9008;26/05/2025;EMPRESTIMO CONSIGNADO CEF;962,75
9011;26/05/2025;CONTRIBUIÇÃO SINDICAL - FUNDEB;39,45
9009;26/05/2025;I.R.R.F;992,54
9055;26/05/2025;PREVIDÊNCIA PRÓPRIA - FUNDEB 60%;2.522,72
9008;26/05/2025;EMPRESTIMO CONSIGNADO CEF;2.399,01
9011;26/05/2025;CONTRIBUIÇÃO SINDICAL - FUNDEB;850,89
9079;26/05/2025;EMPRÉSTIMO CONSIGNADO BRADESCO;5.781,90
9009;26/05/2025;I.R.R.F;10.333,14
9055;26/05/2025;PREVIDÊNCIA PRÓPRIA - FUNDEB 60%;11.673,46
9005;26/05/2025;INSS (FUNDEB 60%);16.814,35
9009;26/05/2025;I.R.R.F;5.302,77
9005;26/05/2025;INSS (FUNDEB 60%);1.487,00
9009;26/05/2025;I.R.R.F;527,12
9005;26/05/2025;INSS (FUNDEB 60%);6.319,75
9009;26/05/2025;I.R.R.F;2.240,26
9005;26/05/2025;INSS (FUNDEB 60%);743,50
9009;26/05/2025;I.R.R.F;263,56
9011;26/05/2025;CONTRIBUIÇÃO SINDICAL - FUNDEB;446,60
9079;26/05/2025;EMPRÉSTIMO CONSIGNADO BRADESCO;3.817,09
9056;26/05/2025;PREVIDÊNCIA PRÓPRIA - FUNDEB 40%;9.313,61
9008;26/05/2025;EMPRESTIMO CONSIGNADO CEF;4.594,90
9009;26/05/2025;I.R.R.F;27,28
9005;26/05/2025;INSS (FUNDEB 60%);22.582,61
9009;26/05/2025;I.R.R.F;166,84
;;;999.993,80
