CÛdigo;EspecificaÁ„o;Cod. AplicaÁ„o;Fonte STN;Fonte de Recurso;Prev. Inicial;Prev. Atualizada;Arrec. PerÌodo;Arrec. Total
1000.00.0.0.00;RECEITAS CORRENTES.;;;;26.436.210,50;26.947.574,80;24.792.790,05;24.792.790,05
1100.00.0.0.00;IMPOSTOS, TAXAS E CONTRIBUI«’ES DE MELHORIA;;;;2.001.506,70;2.001.506,70;1.557.330,86;1.557.330,86
1110.00.0.0.00;IMPOSTOS;;;;1.980.399,70;1.980.399,70;1.531.160,98;1.531.160,98
1112.00.0.0.00;IMPOSTOS SOBRE O PATRIM‘NIO;;;;33.000,00;33.000,00;24.207,79;24.207,79
1112.50.0.1.00;IPTU - PRINCIPAL;;;;25.000,00;25.000,00;16.147,79;16.147,79
1112.50.0.1.00;IPTU - PRINCIPAL;999.000;1.500 0;1.500.00 9999;25.000,00;25.000,00;16.147,79;16.147,79
1112.53.0.1.00;"ITBI-""INTER VIVOS""-PRINCIPAL";;;;8.000,00;8.000,00;8.060,00;8.060,00
1112.53.0.1.00;"ITBI-""INTER VIVOS""-PRINCIPAL";999.000;1.500 0;1.500.00 9999;8.000,00;8.000,00;8.060,00;8.060,00
1113.00.0.0.00;IMPOSTOS SOBRE A RENDA E PROVENTOS DE QUALQUER NATUREZA;;;;1.122.749,00;1.122.749,00;1.191.031,13;1.191.031,13
1113.03.1.1.00;IRRF-TRABALHO-PRINCIPAL;;;;832.000,00;832.000,00;1.114.498,52;1.114.498,52
1113.03.1.1.00;IRRF-TRABALHO-PRINCIPAL;999.000;1.500 0;1.500.00 9999;832.000,00;832.000,00;1.114.498,52;1.114.498,52
1113.03.4.1.00;IRRF- OUTROS RENDIMENTOS-PRINCIPAL;;;;290.749,00;290.749,00;76.532,61;76.532,61
1113.03.4.1.00;IRRF- OUTROS RENDIMENTOS-PRINCIPAL;999.000;1.500 0;1.500.00 9999;290.749,00;290.749,00;76.532,61;76.532,61
1114.00.0.0.00;IMPOSTO PRODU«√O CIRCULA«√O MERCADORIAS SERVI«OS;;;;824.650,70;824.650,70;315.922,06;315.922,06
1114.51.1.1.00;ISSQN - PRINCIPAL;;;;824.650,70;824.650,70;315.922,06;315.922,06
1114.51.1.1.00;ISSQN - PRINCIPAL;999.000;1.500 0;1.500.00 9999;774.650,70;774.650,70;237.184,52;237.184,52
1114.51.1.1.01;IMPOSTO SOBRE SERVIÁOS DE QUALQUER NATUREZA - SIMPLES;999.000;1.500 0;1.500.00 9999;50.000,00;50.000,00;78.737,54;78.737,54
1120.00.0.0.00;TAXAS;;;;21.107,00;21.107,00;26.169,88;26.169,88
1121.00.0.0.00;TAXAS PELO EXERCÕCIO DO PODER DE POLÕCIA;;;;18.107,00;18.107,00;15.950,00;15.950,00
1121.01.0.1.00;TAXAS DE INSPE«√O, CONTROLE E FISCALIZA«√O - PRINCIPAL;;;;16.107,00;16.107,00;15.950,00;15.950,00
1121.01.0.1.00;TAXAS DE INSPE«√O, CONTROLE E FISCALIZA«√O - PRINCIPAL;999.000;1.500 0;1.500.00 9999;16.107,00;16.107,00;15.950,00;15.950,00
1121.50.0.1.00;TAXA DE FISCALIZA«√O DE VIGIL¬NCIA SANIT¡RIA - PRINCIPAL;;;;2.000,00;2.000,00;0,00;0,00
1121.50.0.1.00;TAXA DE FISCALIZA«√O DE VIGIL¬NCIA SANIT¡RIA - PRINCIPAL;999.000;1.500 0;1.500.00 9999;2.000,00;2.000,00;0,00;0,00
1122.00.0.0.00;TAXAS PELA PRESTA«√O DE SERVI«OS;;;;3.000,00;3.000,00;10.219,88;10.219,88
1122.01.0.1.00;TAXAS PELA PRESTA«√O DE SERVI«OS EM GERAL - PRINCIPAL;;;;3.000,00;3.000,00;10.219,88;10.219,88
1122.01.0.1.00;TAXAS PELA PRESTA«√O DE SERVI«OS EM GERAL - PRINCIPAL;999.000;1.500 0;1.500.00 9999;3.000,00;3.000,00;10.219,88;10.219,88
1200.00.0.0.00;CONTRIBUI«’ES;;;;594.700,00;594.700,00;369.636,53;369.636,53
