Código;Especificação;Cod. Aplicação;Fonte STN;Fonte de Recurso;Prev. Inicial;Prev. Atualizada;Arrec. Período;Arrec. Total
1920.00.0.0.00;INDENIZAÇÕES, RESTITUIÇÕES E RESSARCIMENTOS;;;;40.000,00;40.000,00;0,00;0,00
1922.00.0.0.00;RESTITUIÇÕES;;;;40.000,00;40.000,00;0,00;0,00
1922.99.0.1.00;OUTRAS RESTITUIÇÕES – PRINCIPAL;;;;30.000,00;30.000,00;0,00;0,00
1922.99.0.1.00;OUTRAS RESTITUIÇÕES – PRINCIPAL;999.000;1.800 1111;1.800.03 1111;30.000,00;30.000,00;0,00;0,00
1922.99.0.2.00;OUTRAS RESTITUIÇÕES – MULTAS E JUROS;;;;10.000,00;10.000,00;0,00;0,00
1922.99.0.2.00;OUTRAS RESTITUIÇÕES – MULTAS E JUROS;999.000;1.800 1111;1.800.03 1111;10.000,00;10.000,00;0,00;0,00
1990.00.0.0.00;DEMAIS RECEITAS CORRENTES;;;;40.000,00;40.000,00;0,00;0,00
1999.00.0.0.00;OUTRAS RECEITAS CORRENTES;;;;40.000,00;40.000,00;0,00;0,00
1999.03.0.1.00;COMPEN.FINANC.ENTRE REGIMES PREVID.–PRINCIPAL;;;;40.000,00;40.000,00;0,00;0,00
1999.03.0.1.00;COMPEN.FINANC.ENTRE REGIMES PREVID.–PRINCIPAL;999.000;1.800 1111;1.800.03 1111;40.000,00;40.000,00;0,00;0,00
7000.00.0.0.00;RECEITAS CORRENTES. (INTRA);;;;1.758.000,00;1.758.000,00;1.270.210,70;1.270.210,70
7200.00.0.0.00;CONTRIBUIÇÕES (INTRA);;;;1.588.000,00;1.588.000,00;1.270.210,70;1.270.210,70
7210.00.0.0.00;CONTRIBUIÇÕES SOCIAIS (INTRA);;;;1.588.000,00;1.588.000,00;1.270.210,70;1.270.210,70
7215.00.0.0.00;CONTRIBUIÇÕES RPPS - (INTRA);;;;1.588.000,00;1.588.000,00;1.270.210,70;1.270.210,70
7215.02.1.1.00;CONTRIBUIÇÃO PATRONAL - SERVIDOR CIVIL ATIVO - PRINCIPAL;;;;1.018.000,00;1.018.000,00;1.270.210,70;1.270.210,70
7215.02.1.1.00;CONTRIBUIÇÃO PATRONAL - SERVIDOR CIVIL ATIVO - PRINCIPAL;999.000;1.802 0;1.802.03 9999;381.000,00;381.000,00;181.353,65;181.353,65
7215.02.1.1.00;CONTRIBUIÇÃO PATRONAL - SERVIDOR CIVIL ATIVO - PRINCIPAL;999.000;1.800 1111;1.800.03 1111;637.000,00;637.000,00;1.088.857,05;1.088.857,05
7215.02.1.2.00;CONTRIBUIÇÃO PATRONAL - SERVIDOR CIVIL ATIVO - MULTAS JUROS;;;;30.000,00;30.000,00;0,00;0,00
7215.02.1.2.00;CONTRIBUIÇÃO PATRONAL - SERVIDOR CIVIL ATIVO - MULTAS JUROS;999.000;1.800 1111;1.800.03 1111;30.000,00;30.000,00;0,00;0,00
7215.02.2.1.00;CONTRIB.PATRONAL SENT.JUDIC.- SERV.CIV.ATIVO - PRINCIPAL;;;;40.000,00;40.000,00;0,00;0,00
7215.02.2.1.00;CONTRIB.PATRONAL SENT.JUDIC.- SERV.CIV.ATIVO - PRINCIPAL;999.000;1.800 1111;1.800.03 1111;40.000,00;40.000,00;0,00;0,00
7215.02.2.2.00;CONTRIB.PATRONAL SENT.JUDIC.- SERV.CIV.ATIVO -M/J DE MORA;;;;5.000,00;5.000,00;0,00;0,00
7215.02.2.2.00;CONTRIB.PATRONAL SENT.JUDIC.- SERV.CIV.ATIVO -M/J DE MORA;999.000;1.800 1111;1.800.03 1111;5.000,00;5.000,00;0,00;0,00
7215.50.1.1.00;CONTRIB.PATRONAL-SERV.CIVIL-INAT.-PRINCIPAL;;;;75.000,00;75.000,00;0,00;0,00
7215.50.1.1.00;CONTRIB.PATRONAL-SERV.CIVIL-INAT.-PRINCIPAL;999.000;1.802 0;1.802.03 9999;45.000,00;45.000,00;0,00;0,00
