Código;Especificação;Cod. Aplicação;Fonte STN;Fonte de Recurso;Prev. Inicial;Prev. Atualizada;Arrec. Período;Arrec. Total
1000.00.0.0.00;RECEITAS CORRENTES.;;;;1.817.000,00;1.817.000,00;1.524.513,76;1.524.513,76
1200.00.0.0.00;CONTRIBUIÇÕES;;;;1.597.000,00;1.597.000,00;1.169.366,45;1.169.366,45
1210.00.0.0.00;CONTRIBUIÇÕES SOCIAIS;;;;1.597.000,00;1.597.000,00;1.169.366,45;1.169.366,45
1215.00.0.0.00;CONTRIBUIÇÕES PARA RPPS;;;;1.597.000,00;1.597.000,00;1.169.366,45;1.169.366,45
1215.01.1.1.00;CONTRIB.SERVIDOR CIVIL ATIVO-PRINCIPAL;;;;837.000,00;837.000,00;1.161.717,24;1.161.717,24
1215.01.1.1.00;CONTRIB.SERVIDOR CIVIL ATIVO-PRINCIPAL;999.000;1.800 1111;1.800.03 1111;837.000,00;837.000,00;1.161.717,24;1.161.717,24
1215.01.1.2.00;CONTRIB.SERVIDOR CIVIL ATIVO-MULTAS JUROS;;;;10.000,00;10.000,00;0,00;0,00
1215.01.1.2.00;CONTRIB.SERVIDOR CIVIL ATIVO-MULTAS JUROS;999.000;1.800 1111;1.800.03 9999;10.000,00;10.000,00;0,00;0,00
1215.01.2.1.00;CONTRIB.SERVIDOR CIVIL INATIVO-PRINCIPAL;;;;650.000,00;650.000,00;0,00;0,00
1215.01.2.1.00;CONTRIB.SERVIDOR CIVIL INATIVO-PRINCIPAL;999.000;1.800 1111;1.800.03 9999;650.000,00;650.000,00;0,00;0,00
1215.01.2.2.00;CONTRIB.SERVIDOR CIVIL INATIVO-MULTAS JUROS;;;;5.000,00;5.000,00;0,00;0,00
1215.01.2.2.00;CONTRIB.SERVIDOR CIVIL INATIVO-MULTAS JUROS;999.000;1.800 1111;1.800.03 9999;5.000,00;5.000,00;0,00;0,00
1215.01.3.1.00;CONTRIB.SERVIDOR CIVIL-PENSIONISTAS-PRINCIPAL;;;;30.000,00;30.000,00;0,00;0,00
1215.01.3.1.00;CONTRIB.SERVIDOR CIVIL-PENSIONISTAS-PRINCIPAL;999.000;1.800 1111;1.800.03 9999;30.000,00;30.000,00;0,00;0,00
1215.01.3.2.00;CONTRIB.SERVIDOR CIVIL-PENSIONISTAS-MULTAS JUROS;;;;5.000,00;5.000,00;0,00;0,00
1215.01.3.2.00;CONTRIB.SERVIDOR CIVIL-PENSIONISTAS-MULTAS JUROS;999.000;1.800 1111;1.800.03 9999;5.000,00;5.000,00;0,00;0,00
1215.03.0.1.00;CONTRIB.SERV.CIVIL-PARCELAMENTOS-PRINCIPAL;;;;50.000,00;50.000,00;7.649,21;7.649,21
1215.03.0.1.00;CONTRIB.SERV.CIVIL-PARCELAMENTOS-PRINCIPAL;999.000;1.800 1111;1.800.03 1111;50.000,00;50.000,00;7.649,21;7.649,21
1215.03.0.2.00;CONTRIB.SERV.CIVIL-PARCELAMENTOS-MULTAS JUROS;;;;10.000,00;10.000,00;0,00;0,00
1215.03.0.2.00;CONTRIB.SERV.CIVIL-PARCELAMENTOS-MULTAS JUROS;999.000;1.800 1111;1.802.03 9999;10.000,00;10.000,00;0,00;0,00
1300.00.0.0.00;RECEITA PATRIMONIAL;;;;150.000,00;150.000,00;355.147,31;355.147,31
1320.00.0.0.00;VALORES MOBILIÁRIOS;;;;150.000,00;150.000,00;355.147,31;355.147,31
1321.00.0.0.00;JUROS E CORREÇÕES MONETÁRIAS;;;;150.000,00;150.000,00;355.147,31;355.147,31
1321.04.0.1.00;REMUNERAÇÃO RECURSOS RPPS-PRINCIPAL;;;;150.000,00;150.000,00;355.147,31;355.147,31
1321.04.0.1.00;REMUNERAÇÃO RECURSOS RPPS-PRINCIPAL;999.000;1.800 1111;1.800.03 1111;150.000,00;150.000,00;355.147,31;355.147,31
1900.00.0.0.00;OUTRAS RECEITAS CORRENTES;;;;70.000,00;70.000,00;0,00;0,00
1920.00.0.0.00;INDENIZAÇÕES, RESTITUIÇÕES E RESSARCIMENTOS;;;;40.000,00;40.000,00;0,00;0,00
1922.00.0.0.00;RESTITUIÇÕES;;;;40.000,00;40.000,00;0,00;0,00
1922.99.0.1.00;OUTRAS RESTITUIÇÕES – PRINCIPAL;;;;30.000,00;30.000,00;0,00;0,00
1922.99.0.1.00;OUTRAS RESTITUIÇÕES – PRINCIPAL;999.000;1.800 1111;1.800.03 9999;30.000,00;30.000,00;0,00;0,00
1922.99.0.2.00;OUTRAS RESTITUIÇÕES – MULTAS E JUROS;;;;10.000,00;10.000,00;0,00;0,00
1922.99.0.2.00;OUTRAS RESTITUIÇÕES – MULTAS E JUROS;999.000;1.800 1111;1.800.03 9999;10.000,00;10.000,00;0,00;0,00
1990.00.0.0.00;DEMAIS RECEITAS CORRENTES;;;;30.000,00;30.000,00;0,00;0,00
1999.00.0.0.00;OUTRAS RECEITAS CORRENTES;;;;30.000,00;30.000,00;0,00;0,00
1999.03.0.1.00;COMPEN.FINANC.ENTRE REGIMES PREVID.–PRINCIPAL;;;;30.000,00;30.000,00;0,00;0,00
